importance,feature
0.0,2370
0.0,2368
0.0,1982
0.0,192
0.0,1878
0.0,1872
0.0,1868
0.0,3774
0.0,2952
0.0,2504
0.0,2502
0.0,250
0.0,1450
0.0,2474
0.0,2464
0.0,2462
0.0,3084
0.0,3080
0.0,2444
0.0,3754
0.0,1268
0.0,126
0.0,3842
0.0,3840
0.0,3814
0.0,3808
0.0,2538
0.0,1020
0.0,3000
0.0,2996
0.0,2992
0.0,2990
0.0,2988
0.0,2010
0.0,1206
0.0,2986
0.0,2984
0.0,298
0.0,1838
0.0,1096
0.0,3530
0.0,134
0.0,2850
0.0,3344
0.0,2946
0.0,3368
0.0,2908
0.0,1488
0.0,1482
0.0,1300
0.0,3390
0.0,2872
0.0,1144
0.0,4040
0.0,3392
0.0,3976
0.0,3410
0.0,3872
0.0,1864
0.0,1862
0.0,1406
0.0,1414
0.0,1798
0.0,1790
0.0,1778
0.0,1216
0.0,2592
0.0,2574
0.0,2570
0.0,12
0.0,1146
0.0,2562
0.0,2810
0.0,2530
0.0,2526
0.0,2520
0.0,2518
0.0,2512
0.0,2508
0.0,2506
0.0,1464
0.0,1462
0.0,4282
0.0,4278
0.0,4258
0.0,4254
0.0,1140
0.0,570
0.0,1134
0.0,1748
0.0,1742
0.0,410
0.0,2774
0.0,2768
0.0,2828
0.0,2608
0.0,2600
0.0,2598
0.0,28
0.0,2798
0.0,2792
0.0,608
0.0,984
0.0,4214
0.0,2618
0.0,964
0.0,42
0.0,4198
0.0,4190
0.0,4184
0.0,4182
0.0,4178
0.0,4174
0.0,4172
0.0,4324
0.0,1044
0.0,4314
0.0,522
0.0,520
0.0,512
0.0,472
0.0,4244
0.0,424
0.0,4232
0.0,616
0.0,2694
0.0,2692
0.0,2680
0.0,2802
0.0,2800
0.0,610
0.0,4358
0.0,4356
0.0,1682
0.0,1672
0.0,1658
0.0,1652
0.0,64
0.0,544
0.0,4336
0.0,4334
0.0,1698
0.0,1692
0.0,1690
0.0,1688
0.0,4332
0.0,1614
0.0,812
0.0,796
0.0,794
0.0,2756
0.0,2732
0.0,2730
0.0,2724
0.0,628
0.0,1118
0.0,542
0.0,534
0.0,532
0.0,446
0.0,4420
0.0,4378
0.0,618
0.0,1034
0.0,1006
0.0,978
0.0,878
0.0,1050
0.0,2214
0.0,3330
0.0,3268
0.0,2612
0.0,1084
0.0,1072
0.0,1070
0.0,1068
0.0,1058
0.0,2616
0.0,2614
0.0,840
0.0,2766
0.0,2762
0.0,880
0.0,1024
0.0,1584
0.0,158
0.0,930
0.0,928
0.0,922
0.0,920
0.0,906
0.0,66
0.0,678
0.0,2670
